input_string,Zip Code
SPRING ST,10012.0
ASTOR PL,10003.0
23 ST,10010.0
28 ST,10001.0
33 ST,10016.0
51 ST,10022.0
68ST-HUNTER CO,10021.0
77 ST,10075.0
96 ST,10128.0
103 ST,10029.0
110 ST,10025.0
116 ST,10035.0
167 ST,10452.0
170 ST,10452.0
MT EDEN AV,10452.0
176 ST,10453.0
BURNSIDE AV,10453.0
183 ST,10453.0
FORDHAM RD,10468.0
KINGSBRIDGE RD,10468.0
BEDFORD PK BLVD,10458.0
MOSHOLU PKWY,10467.0
WOODLAWN,10467.0
145 ST,10031.0
HARLEM 148 ST,10039.0
WAKEFIELD/241,10470.0
3 AV 138 ST,10454.0
BROOK AV,10454.0
CYPRESS AV,10454.0
E 143/ST MARY'S,10454.0
E 149 ST,10451.0
LONGWOOD AV,10455.0
HUNTS POINT AV,10474.0
WHITLOCK AV,10459.0
ELDER AV,10472.0
MORISN AV/SNDVW,10106.0
ST LAWRENCE AV,10472.0
PARKCHESTER,10472.0
CASTLE HILL AV,10462.0
ZEREGA AV,10462.0
WESTCHESTER SQ,10461.0
MIDDLETOWN RD,10461.0
BUHRE AV,10461.0
PELHAM BAY PARK,10461.0
NOSTRAND AV,11205.0
KINGSTON AV,11213.0
SUTTER AV-RUTLD,11212.0
SARATOGA AV,11212.0
JUNIUS ST,11212.0
PENNSYLVANIA AV,10119.0
NEW LOTS AV,11212.0
MORRIS PARK,10462.0
PELHAM PKWY,10469.0
GUN HILL RD,10467.0
BAYCHESTER AV,10469.0
EASTCHSTER/DYRE,10466.0
ROCKAWAY AV,11233.0
VAN SICLEN AV,11207.0
ORCHARD BEACH,4064.0
